"device_id","created_at","feed_entry_id","luminosity_value","vibration_value","alert"
1885576,"2024-11-26T23:06:49Z",499468,"486","0","0"
1885576,"2024-11-26T23:08:03Z",499469,"488","0","0"
1885576,"2024-11-26T23:08:15Z",499470,"476","0","0"
1885576,"2024-11-26T23:09:10Z",499471,"489","0","0"
1885576,"2024-11-26T23:09:16Z",499472,"492","0","0"
1885576,"2024-11-26T23:09:22Z",499473,"489","0","0"
1885576,"2024-11-26T23:09:35Z",499474,"488","0","0"
1885576,"2024-11-26T23:09:47Z",499475,"473","0","0"
1885576,"2024-11-26T23:10:35Z",499476,"493","0","0"
1885576,"2024-11-26T23:10:47Z",499477,"493","0","0"
1885576,"2024-11-26T23:11:24Z",499478,"495","0","0"
1885576,"2024-11-26T23:11:55Z",499479,"484","0","0"
1885576,"2024-11-26T23:12:19Z",499480,"488","0","0"
1885576,"2024-11-26T23:13:02Z",499481,"497","0","0"
1885576,"2024-11-26T23:13:38Z",499482,"487","0","0"
1885576,"2024-11-26T23:13:57Z",499483,"492","0","0"
1885576,"2024-11-26T23:14:03Z",499484,"494","0","0"
1885576,"2024-11-26T23:14:28Z",499485,"472","0","0"
1885576,"2024-11-26T23:15:53Z",499486,"486","0","0"
1885576,"2024-11-26T23:16:05Z",499487,"483","0","0"
1885576,"2024-11-26T23:16:54Z",499488,"473","0","0"
1885576,"2024-11-26T23:17:30Z",499489,"492","0","0"
1885576,"2024-11-26T23:18:25Z",499490,"19","0","0"
1885576,"2024-11-26T23:18:38Z",499491,"19","0","0"
1885576,"2024-11-26T23:18:44Z",499492,"19","0","0"
1885576,"2024-11-26T23:19:26Z",499493,"19","0","0"
1885576,"2024-11-26T23:19:45Z",499494,"19","0","0"
1885576,"2024-11-26T23:20:46Z",499495,"19","0","0"
1885576,"2024-11-26T23:22:23Z",499496,"20","0","0"
1885576,"2024-11-26T23:22:36Z",499497,"20","0","0"
1885576,"2024-11-26T23:23:00Z",499498,"20","0","0"
1885576,"2024-11-26T23:23:18Z",499499,"20","0","0"
1885576,"2024-11-26T23:24:01Z",499500,"20","0","0"
1885576,"2024-11-26T23:24:25Z",499501,"20","0","0"
1885576,"2024-11-26T23:24:50Z",499502,"20","0","0"
1885576,"2024-11-26T23:25:51Z",499504,"20","0","0"
1885576,"2024-11-26T23:25:57Z",499505,"20","0","0"
1885576,"2024-11-26T23:26:40Z",499506,"20","0","0"
1885576,"2024-11-26T23:26:52Z",499507,"20","0","0"
1885576,"2024-11-26T23:27:10Z",499509,"20","0","0"
1885576,"2024-11-26T23:27:22Z",499510,"20","0","0"
1885576,"2024-11-26T23:27:47Z",499511,"20","0","0"
1885576,"2024-11-26T23:28:12Z",499512,"20","0","0"
1885576,"2024-11-26T23:28:17Z",499513,"20","0","0"
1885576,"2024-11-26T23:31:08Z",499514,"20","0","0"
1885576,"2024-11-26T23:31:33Z",499515,"20","0","0"
1885576,"2024-11-26T23:31:51Z",499517,"20","0","0"
1885576,"2024-11-26T23:31:58Z",499518,"20","0","0"
1885576,"2024-11-26T23:32:22Z",499519,"20","0","0"
1885576,"2024-11-26T23:32:40Z",499521,"20","0","0"
1885576,"2024-11-26T23:32:46Z",499522,"20","0","0"
1885576,"2024-11-26T23:33:05Z",499523,"20","0","0"
1885576,"2024-11-26T23:33:41Z",499524,"20","0","0"
1885576,"2024-11-26T23:34:42Z",499525,"20","0","0"
1885576,"2024-11-26T23:35:00Z",499526,"20","0","0"
1885576,"2024-11-26T23:35:06Z",499527,"20","0","0"
1885576,"2024-11-26T23:35:13Z",499528,"20","0","0"
1885576,"2024-11-26T23:35:31Z",499530,"20","0","0"
1885576,"2024-11-26T23:35:55Z",499531,"20","0","0"
1885576,"2024-11-26T23:36:13Z",499532,"20","0","0"
1885576,"2024-11-26T23:36:26Z",499533,"20","0","0"
1885576,"2024-11-26T23:36:50Z",499534,"20","0","0"
1885576,"2024-11-26T23:37:27Z",499535,"20","0","0"
1885576,"2024-11-26T23:38:53Z",499536,"20","0","0"
1885576,"2024-11-26T23:39:10Z",499537,"20","0","0"
1885576,"2024-11-26T23:39:29Z",499539,"20","0","0"
1885576,"2024-11-26T23:39:41Z",499541,"20","0","0"
1885576,"2024-11-26T23:39:47Z",499542,"20","0","0"
1885576,"2024-11-26T23:39:54Z",499543,"20","0","0"
1885576,"2024-11-26T23:40:12Z",499544,"20","0","0"
1885576,"2024-11-26T23:40:30Z",499545,"20","0","0"
1885576,"2024-11-26T23:41:06Z",499546,"20","0","0"
1885576,"2024-11-26T23:41:31Z",499548,"20","0","0"
1885576,"2024-11-26T23:41:55Z",499549,"20","0","0"
1885576,"2024-11-26T23:42:26Z",499550,"20","0","0"
1885576,"2024-11-26T23:43:03Z",499551,"20","0","0"
1885576,"2024-11-26T23:43:39Z",499552,"20","0","0"
1885576,"2024-11-26T23:43:46Z",499553,"20","0","0"
1885576,"2024-11-26T23:44:04Z",499554,"20","0","0"
1885576,"2024-11-26T23:44:22Z",499555,"21","0","0"
1885576,"2024-11-26T23:44:53Z",499556,"20","0","0"
1885576,"2024-11-26T23:45:29Z",499558,"20","0","0"
1885576,"2024-11-26T23:46:12Z",499559,"20","0","0"
1885576,"2024-11-26T23:46:31Z",499560,"20","0","0"
1885576,"2024-11-26T23:46:48Z",499562,"20","0","0"
1885576,"2024-11-26T23:47:19Z",499563,"20","0","0"
1885576,"2024-11-26T23:47:31Z",499564,"20","0","0"
1885576,"2024-11-26T23:48:26Z",499565,"20","0","0"
1885576,"2024-11-26T23:48:39Z",499567,"20","0","0"
1885576,"2024-11-26T23:48:44Z",499568,,,"0"
1885576,"2024-11-26T23:48:57Z",499569,"20","0","0"
1885576,"2024-11-26T23:49:52Z",499570,"20","0","0"
1885576,"2024-11-26T23:50:04Z",499571,"20","0","0"
1885576,"2024-11-26T23:50:16Z",499572,"20","0","0"
1885576,"2024-11-26T23:50:28Z",499573,"20","0","0"
1885576,"2024-11-26T23:50:34Z",499574,"20","0","0"
1885576,"2024-11-26T23:51:05Z",499575,"20","0","0"
1885576,"2024-11-26T23:51:35Z",499576,"20","0","0"
1885576,"2024-11-26T23:51:48Z",499577,"20","0","0"
1885576,"2024-11-26T23:52:12Z",499578,"20","0","0"
1885576,"2024-11-26T23:52:24Z",499579,"21","0","0"
1885576,"2024-11-26T23:52:48Z",499580,"20","0","0"
1885576,"2024-11-26T23:53:01Z",499581,"20","0","0"
1885576,"2024-11-26T23:53:07Z",499582,"20","0","0"
1885576,"2024-11-26T23:53:13Z",499583,"20","0","0"
1885576,"2024-11-26T23:53:25Z",499584,"20","0","0"
1885576,"2024-11-26T23:53:31Z",499585,"20","0","0"
1885576,"2024-11-26T23:53:49Z",499587,"20","0","0"
1885576,"2024-11-26T23:53:56Z",499588,"20","0","0"
1885576,"2024-11-26T23:54:57Z",499589,"20","0","0"
1885576,"2024-11-26T23:55:03Z",499590,"20","0","0"
1885576,"2024-11-26T23:55:52Z",499591,"20","0","0"
1885576,"2024-11-26T23:56:04Z",499592,"20","0","0"
1885576,"2024-11-26T23:56:29Z",499593,"20","0","0"
1885576,"2024-11-26T23:56:41Z",499595,"20","0","0"
1885576,"2024-11-26T23:56:59Z",499597,"20","0","0"
1885576,"2024-11-26T23:57:11Z",499598,"20","0","0"
1885576,"2024-11-26T23:57:24Z",499599,"20","0","0"
1885576,"2024-11-26T23:57:48Z",499600,"20","0","0"
1885576,"2024-11-26T23:58:00Z",499602,"20","0","0"
1885576,"2024-11-26T23:58:06Z",499603,"20","0","0"
1885576,"2024-11-26T23:58:24Z",499604,"20","0","0"
1885576,"2024-11-26T23:59:13Z",499605,"20","0","0"
1885576,"2024-11-26T23:59:32Z",499607,"20","0","0"
1885576,"2024-11-26T23:59:44Z",499608,"20","0","0"
1885576,"2024-11-27T00:00:14Z",499609,"20","0","0"
